transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
7905,0,48844,4,48844.jpg,4,28.8,0.0,13,0,0,Ospina,0.4,False,3,1,False,David,0,100,-3,0,0.0,3,0,2.9,2,0,3433,a,0.0,0,0,47,1.0,0,0,0.2,0.0,0,,56,0,0,0,0,0,0,18,1,0.0,0.0,1,100,143,Ospina,0
590727,2,11334,37,11334.jpg,115,819.8,0.0,33,0,0,Cech,24.8,False,3,2,False,Petr,0,100,-1,0,0.1,1,2,82.0,134,0,432837,a,0.0,1,0,54,3.8,12,0,13.7,0.0,0,,409,0,0,4,0,0,0,660,1,6.0,0.0,1,100,3097,Cech,0
857277,4,51507,37,51507.jpg,0,831.2,0.0,6,2,0,Koscielny,19.8,False,3,3,False,Laurent,0,0,1,0,53.9,-1,19,112.7,121,0,965040,s,0.0,0,0,61,3.7,10,1,11.2,0.0,0,Suspended - unknown return date,493,0,3,-2,1,0,0,723,2,1.7,239.0,1,75,2821,Koscielny,0
5912,0,17127,1,17127.jpg,0,17.8,0.0,4,0,0,Mertesacker,0.2,False,3,4,False,Per,0,100,-2,0,0.1,2,0,1.8,1,0,2141,a,0.0,0,0,48,1.0,0,0,0.2,0.0,0,,265,0,0,1,0,0,0,5,2,0.0,0.0,1,100,38,Mertesacker,0
100361,6,158074,18,158074.jpg,0,295.8,0.0,5,0,0,Gabriel,9.4,False,3,5,False,Gabriel Armando,0,75,-2,0,84.5,2,2,50.0,45,0,119600,d,0.0,0,0,48,2.4,5,0,0.8,0.0,0,Knee injury - 75% chance of playing,244,0,0,0,0,0,0,296,2,1.0,119.0,1,100,1517,de Abreu,0
1025895,4,98745,34,98745.jpg,0,437.6,0.0,24,1,0,Bellerín,18.3,False,3,6,False,Héctor,0,100,0,0,508.3,0,12,133.8,119,0,403777,a,0.0,0,0,65,3.6,10,5,13.9,0.0,0,,541,0,2,8,0,0,0,569,2,3.8,395.0,1,100,2503,Bellerín,0
30650,3,42427,3,42427.jpg,0,142.4,0.0,3,0,0,Gibbs,9.6,False,3,7,False,Kieran,0,75,-3,0,171.4,3,3,43.1,45,0,70359,d,0.0,0,0,47,4.1,6,1,1.7,0.0,0,Thigh injury - 75% chance of playing,69,0,1,0,0,0,0,201,2,4.7,117.0,1,100,702,Gibbs,0
10701,0,27334,0,27334.jpg,0,1.0,0.0,2,0,0,Debuchy,0.2,False,3,8,False,Mathieu,0,100,-4,0,1.4,4,0,0.2,1,0,2211,a,0.0,0,0,46,1.0,0,0,0.2,0.0,0,,11,0,0,0,0,0,0,2,2,0.0,0.0,1,100,15,Debuchy,0
10032,0,80254,1,80254.jpg,0,19.4,0.0,25,0,0,Jenkinson,0.4,False,3,9,False,Carl,0,100,-2,0,2.0,2,0,2.1,2,0,9727,a,0.0,0,0,48,2.0,0,0,0.1,0.0,0,,178,0,0,0,0,0,0,12,2,0.0,0.0,1,100,82,Jenkinson,0
273214,5,38411,43,38411.jpg,0,554.0,0.0,18,0,0,Monreal,19.5,False,3,10,False,Nacho,0,100,-1,0,280.3,1,9,105.8,115,0,299355,a,0.0,0,0,59,3.2,11,3,6.4,0.0,0,,511,0,1,2,0,0,0,681,2,5.2,220.0,1,100,3153,Monreal,0
