transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
1145,0,48844,0,48844.jpg,0,0.0,3.5,13,0,0,Ospina,0.0,False,3,1,False,David,1145,,0,0,0.0,0,0,0.0,0,0,173,a,0.0,0,0,50,0.0,0,0,0.2,0.0,0,,0,0,0,0,0,0,173,0,1,4.0,0.0,1,,0,Ospina,0
13748,0,11334,3,11334.jpg,0,12.2,4.3,33,0,0,Cech,0.2,False,3,2,False,Petr,13748,,0,0,0.0,0,0,1.2,1,0,3517,a,1.0,0,0,55,1.0,0,0,5.9,0.2,0,,0,0,0,1,0,0,3517,9,1,4.8,0.0,1,,90,Cech,0
4843,0,98980,0,98980.jpg,0,0.0,0.0,26,0,0,Martinez,0.0,False,3,3,False,Damian Emiliano,4843,0,0,0,0.0,0,0,0.0,0,0,99,u,0.0,0,0,40,0.0,0,0,1.0,0.0,0,Season-long loan to Getafe,0,0,0,0,0,0,99,0,1,0.0,0.0,1,0,0,Martinez,0
3384,0,51507,0,51507.jpg,0,0.0,0.0,6,0,0,Koscielny,0.0,False,3,4,False,Laurent,3384,0,0,0,0.0,0,0,0.0,0,0,401,s,0.0,0,0,60,0.0,0,0,0.5,0.0,0,Suspended until 27 Aug,0,0,0,0,0,0,401,0,2,0.0,0.0,1,0,0,Koscielny,0
3474,0,17127,0,17127.jpg,0,0.0,2.1,4,0,0,Mertesacker,0.0,False,3,5,False,Per,3474,100,0,0,0.0,0,0,0.0,0,0,588,a,0.0,0,0,50,0.0,0,0,0.5,0.0,0,,0,0,0,0,0,0,588,0,2,3.3,0.0,1,75,0,Mertesacker,0
325,0,158074,0,158074.jpg,0,0.0,0.7,5,0,0,Gabriel,0.0,False,3,6,False,Gabriel Armando,325,25,0,0,0.0,0,0,0.0,0,0,71,d,0.0,0,0,50,0.0,0,0,0.0,0.0,0,Knee injury - 25% chance of playing,0,0,0,0,0,0,71,0,2,0.8,0.0,1,25,0,de Abreu,0
35680,0,98745,3,98745.jpg,0,17.2,3.6,24,0,0,Bellerín,0.2,False,3,7,False,Héctor,35680,,0,0,27.5,0,0,7.0,1,0,11714,a,1.0,0,0,60,1.0,0,0,14.2,0.2,0,,0,0,0,1,0,0,11714,9,2,4.1,25.0,1,,90,Bellerín,0
1142,0,42427,0,42427.jpg,0,0.0,2.1,3,0,0,Gibbs,0.0,False,3,8,False,Kieran,1142,100,0,0,0.0,0,0,0.0,0,0,86,a,0.0,0,0,50,0.0,0,0,0.1,0.0,0,,0,0,0,0,0,0,86,0,2,3.3,0.0,1,75,0,Gibbs,0
1884,0,80254,0,80254.jpg,0,0.0,2.3,25,0,0,Jenkinson,0.0,False,3,9,False,Carl,1884,,0,0,0.0,0,0,0.0,0,0,388,a,0.0,0,0,45,0.0,0,0,0.4,0.0,0,,0,0,0,0,0,0,388,0,2,2.8,0.0,1,,0,Jenkinson,0
18171,0,38411,3,38411.jpg,0,30.2,3.2,18,0,0,Monreal,0.2,False,3,10,False,Nacho,18171,,0,0,1.3,0,0,3.2,1,0,4509,a,1.0,0,0,55,1.0,0,0,5.2,0.2,0,,0,0,0,1,0,0,4509,24,2,3.7,0.0,1,,90,Monreal,0
10532,0,156074,3,156074.jpg,0,19.2,2.8,16,0,0,Holding,0.2,False,3,11,False,Rob,10532,,0,0,2.1,0,0,2.1,1,0,3450,a,1.0,0,0,50,1.0,0,0,2.2,0.2,0,,0,0,0,1,0,0,3450,18,2,3.3,0.0,1,,66,Holding,0
10905,0,69140,0,69140.jpg,0,0.0,2.4,20,0,0,Mustafi,0.0,False,3,12,False,Shkodran,10905,100,0,0,0.0,0,0,0.0,0,0,2090,a,0.0,0,0,55,0.0,0,0,1.8,0.0,0,,0,0,0,0,0,0,2090,0,2,3.7,0.0,1,75,0,Mustafi,0
13257,0,111457,3,111457.jpg,0,40.2,3.6,31,0,0,Kolasinac,0.8,False,3,13,False,Sead,13257,,0,0,15.6,0,1,7.9,5,0,53786,a,5.0,0,0,60,5.0,0,1,13.7,0.8,0,,0,0,0,5,0,0,53786,35,2,4.1,23.0,1,,90,Kolasinac,0
25583,0,37265,0,37265.jpg,0,0.0,0.0,7,0,0,Sánchez,0.0,False,3,14,False,Alexis,25583,25,0,0,0.0,0,0,0.0,0,0,2063,d,0.0,0,0,120,0.0,0,0,2.5,0.0,0,Abdominal injury - 25% chance of playing,0,0,0,0,0,0,2063,0,3,1.4,0.0,1,0,0,Sánchez,0
26622,0,20467,0,20467.jpg,0,1.0,3.3,14,0,0,Walcott,0.1,False,3,15,False,Theo,26622,100,0,0,0.3,0,0,0.1,1,0,2195,a,1.0,0,0,75,1.0,0,0,2.4,0.1,0,,0,0,0,1,0,0,2195,2,3,3.8,0.0,1,100,15,Walcott,0
6478,0,37605,3,37605.jpg,0,18.6,3.0,11,0,0,Özil,0.2,False,3,16,False,Mesut,6478,100,0,0,80.8,0,0,12.4,2,0,6467,a,2.0,0,0,95,2.0,0,0,2.5,0.2,0,,0,0,0,2,0,0,6467,15,3,4.5,25.0,1,75,90,Özil,0
