team_division,code,played,win,current_event_fixture,id,strength,form,strength_overall_away,strength_attack_away,draw,short_name,strength_defence_away,strength_overall_home,unavailable,loss,name,next_event_fixture,link_url,points,strength_defence_home,position,strength_attack_home
1,3,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 1, u'day': 11, u'opponent': 9}]",1,4,,1320,1340,0,ARS,1350,1270,False,0,Arsenal,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 16, u'day': 19, u'opponent': 15}]",,0,1310,0,1280
1,91,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 8, u'day': 12, u'opponent': 19}]",2,2,,1050,1080,0,BOU,1140,990,False,0,Bournemouth,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 11, u'day': 19, u'opponent': 18}]",,0,1060,0,970
1,36,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 2, u'day': 12, u'opponent': 11}]",3,2,,1030,990,0,BHA,990,1000,False,0,Brighton,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 13, u'day': 19, u'opponent': 9}]",,0,950,0,950
1,90,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 3, u'day': 12, u'opponent': 5}]",4,2,,1110,1230,0,BUR,1060,950,False,0,Burnley,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 12, u'day': 19, u'opponent': 19}]",,0,950,0,970
1,8,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 3, u'day': 12, u'opponent': 4}]",5,5,,1350,1390,0,CHE,1400,1340,False,0,Chelsea,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 19, u'day': 20, u'opponent': 17}]",,0,1310,0,1340
1,31,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 4, u'day': 12, u'opponent': 8}]",6,2,,1000,1080,0,CRY,1050,1020,False,0,Crystal Palace,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 14, u'day': 19, u'opponent': 10}]",,0,1090,0,980
1,11,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 5, u'day': 12, u'opponent': 15}]",7,4,,1250,1300,0,EVE,1250,1190,False,0,Everton,"[{u'is_home': False, u'month': 8, u'event_day': 3, u'id': 20, u'day': 21, u'opponent': 11}]",,0,1100,0,1150
1,38,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 4, u'day': 12, u'opponent': 6}]",8,2,,980,980,0,HUD,960,960,False,0,Huddersfield,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 18, u'day': 20, u'opponent': 13}]",,0,940,0,940
1,13,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 1, u'day': 11, u'opponent': 1}]",9,3,,1120,1160,0,LEI,1110,1090,False,0,Leicester,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 13, u'day': 19, u'opponent': 3}]",,0,1020,0,1000
1,14,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 7, u'day': 12, u'opponent': 18}]",10,4,,1300,1320,0,LIV,1390,1270,False,0,Liverpool,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 14, u'day': 19, u'opponent': 6}]",,0,1310,0,1220
1,43,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 2, u'day': 12, u'opponent': 3}]",11,4,,1310,1320,0,MCI,1350,1310,False,0,Man City,"[{u'is_home': True, u'month': 8, u'event_day': 3, u'id': 20, u'day': 21, u'opponent': 7}]",,0,1330,0,1230
1,1,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 3, u'id': 9, u'day': 13, u'opponent': 20}]",12,4,,1290,1400,0,MUN,1310,1280,False,0,Man Utd,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 17, u'day': 19, u'opponent': 16}]",,0,1280,0,1300
1,4,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 3, u'id': 10, u'day': 13, u'opponent': 17}]",13,2,,1040,1000,0,NEW,1000,990,False,0,Newcastle,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 18, u'day': 20, u'opponent': 8}]",,0,960,0,970
1,20,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 6, u'day': 12, u'opponent': 16}]",14,3,,1100,1230,0,SOU,1090,1090,False,0,Southampton,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 15, u'day': 19, u'opponent': 20}]",,0,1090,0,1190
1,110,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 5, u'day': 12, u'opponent': 7}]",15,2,,1070,1140,0,STK,1070,1030,False,0,Stoke,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 16, u'day': 19, u'opponent': 1}]",,0,990,0,1030
1,80,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 2, u'id': 6, u'day': 12, u'opponent': 14}]",16,2,,1030,960,0,SWA,1040,1010,False,0,Swansea,"[{u'is_home': True, u'month': 8, u'event_day': 1, u'id': 17, u'day': 19, u'opponent': 12}]",,0,1000,0,970
1,6,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 3, u'id': 10, u'day': 13, u'opponent': 13}]",17,5,,1350,1420,0,TOT,1390,1300,False,0,Spurs,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 19, u'day': 20, u'opponent': 5}]",,0,1320,0,1310
1,57,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 7, u'day': 12, u'opponent': 10}]",18,2,,1030,1060,0,WAT,1030,1000,False,0,Watford,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 11, u'day': 19, u'opponent': 2}]",,0,960,0,1000
1,35,0,0,"[{u'is_home': True, u'month': 8, u'event_day': 2, u'id': 8, u'day': 12, u'opponent': 2}]",19,2,,1070,1150,0,WBA,1070,1050,False,0,West Brom,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 12, u'day': 19, u'opponent': 4}]",,0,980,0,1130
1,21,0,0,"[{u'is_home': False, u'month': 8, u'event_day': 3, u'id': 9, u'day': 13, u'opponent': 12}]",20,2,,1050,1100,0,WHU,1080,1030,False,0,West Ham,"[{u'is_home': False, u'month': 8, u'event_day': 1, u'id': 15, u'day': 19, u'opponent': 14}]",,0,1110,0,990
