transfers_out,yellow_cards,tackles,goals_conceded,winning_goals,errors_leading_to_goal_attempt,saves,influence,key_passes,transfers_in,transfers_balance,goals_scored,player_id,id,own_goals,team_h_score,selected,creativity,kickoff_time_formatted,bonus,big_chances_created,ict_index,total_points,penalties_missed,attempted_passes,opponent_team,completed_passes,target_missed,errors_leading_to_goal,loaned_in,fixture,was_home,recoveries,clean_sheets,assists,team_a_score,open_play_crosses,clearances_blocks_interceptions,penalties_conceded,offside,ea_index,kickoff_time,penalties_saved,fouls,red_cards,loaned_out,value,element,bps,dribbles,threat,tackled,big_chances_missed,minutes,round
0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,3,6064,0.0,14 Aug 16:00,0,0,0.0,0,0,0,9,0,0,0,0,8,True,0,0,0,4,0,0,0,0,0,2016-08-14T15:00:00Z,0,0,0,0,50,1,0,0,0.0,0,0,0,1
731,0,0,0,0,0,0,0.0,0,153,-578,0,1,526,0,0,7400,0.0,20 Aug 17:30,0,0,0.0,0,0,0,8,0,0,0,0,13,False,0,0,0,0,0,0,0,0,0,2016-08-20T16:30:00Z,0,0,0,0,50,1,0,0,0.0,0,0,0,2
721,0,0,0,0,0,0,0.0,0,150,-571,0,1,1066,0,1,7708,0.0,27 Aug 15:00,0,0,0.0,0,0,0,18,0,0,0,0,28,False,0,0,0,3,0,0,0,0,0,2016-08-27T14:00:00Z,0,0,0,0,50,1,0,0,0.0,0,0,0,3
632,0,0,0,0,0,0,0.0,0,183,-449,0,1,1616,0,2,8072,0.0,10 Sep 15:00,0,0,0.0,0,0,0,13,0,0,0,0,31,True,0,0,0,1,0,0,0,0,0,2016-09-10T14:00:00Z,0,0,0,0,49,1,0,0,0.0,0,0,0,4
330,0,0,0,0,0,0,0.0,0,172,-158,0,1,2197,0,1,8379,0.0,17 Sep 15:00,0,0,0.0,0,0,0,7,0,0,0,0,43,False,0,0,0,4,0,0,0,0,0,2016-09-17T14:00:00Z,0,0,0,0,49,1,0,0,0.0,0,0,0,5
427,0,0,0,0,0,0,0.0,0,158,-269,0,1,2781,0,3,8632,0.0,24 Sep 17:30,0,0,0.0,0,0,0,4,0,0,0,0,51,True,0,0,0,0,0,0,0,0,0,2016-09-24T16:30:00Z,0,0,0,0,49,1,0,0,0.0,0,0,0,6
359,0,0,0,0,0,0,0.0,0,106,-253,0,1,3367,0,0,8699,0.0,02 Oct 16:30,0,0,0.0,0,0,0,3,0,0,0,0,61,False,0,0,0,1,0,0,0,0,0,2016-10-02T15:30:00Z,0,0,0,0,49,1,0,0,0.0,0,0,0,7
344,0,0,0,0,0,0,0.0,0,88,-256,0,1,3956,0,3,8856,0.0,15 Oct 15:00,0,0,0.0,0,0,0,16,0,0,0,0,71,True,0,0,0,2,0,0,0,0,0,2016-10-15T14:00:00Z,0,0,0,0,49,1,0,0,0.0,0,0,0,8
248,0,0,0,0,0,0,0.0,0,48,-200,0,1,4548,0,0,8844,0.0,22 Oct 15:00,0,0,0.0,0,0,0,12,0,0,0,0,81,True,0,0,0,0,0,0,0,0,0,2016-10-22T14:00:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,9
201,0,0,0,0,0,0,0.0,0,40,-161,0,1,5142,0,1,8863,0.0,29 Oct 12:30,0,0,0.0,0,0,0,15,0,0,0,0,97,False,0,0,0,4,0,0,0,0,0,2016-10-29T11:30:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,10
226,0,0,0,0,0,0,0.0,0,61,-165,0,1,5740,0,1,8861,0.0,06 Nov 12:00,0,0,0.0,0,0,0,17,0,0,0,0,101,True,0,0,0,1,0,0,0,0,0,2016-11-06T12:00:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,11
200,0,0,0,0,0,0,0.0,0,73,-127,0,1,6339,0,1,8975,0.0,19 Nov 12:30,0,0,0.0,0,0,0,11,0,0,0,0,113,False,0,0,0,1,0,0,0,0,0,2016-11-19T12:30:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,12
127,0,0,0,0,0,0,0.0,0,46,-81,0,1,6940,0,3,9003,0.0,27 Nov 14:15,0,0,0.0,0,0,0,2,0,0,0,0,121,True,0,0,0,1,0,0,0,0,0,2016-11-27T14:15:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,13
141,0,0,0,0,0,0,0.0,0,55,-86,0,1,7544,0,1,9042,0.0,03 Dec 17:30,0,0,0.0,0,0,0,20,0,0,0,0,140,False,0,0,0,5,0,0,0,0,0,2016-12-03T17:30:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,14
145,0,0,0,0,0,0,0.0,0,57,-88,0,1,8149,0,3,9068,0.0,10 Dec 15:00,0,0,0.0,0,0,0,14,0,0,0,0,141,True,0,0,0,1,0,0,0,0,0,2016-12-10T15:00:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,15
95,0,0,0,0,0,0,0.0,0,42,-53,0,1,8759,0,2,9084,0.0,13 Dec 19:45,0,0,0.0,0,0,0,6,0,0,0,0,156,False,0,0,0,1,0,0,0,0,0,2016-12-13T19:45:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,16
83,0,0,0,0,0,0,0.0,0,23,-60,0,1,9373,0,2,9086,0.0,18 Dec 16:00,0,0,0.0,0,0,0,10,0,0,0,0,164,False,0,0,0,1,0,0,0,0,0,2016-12-18T16:00:00Z,0,0,0,0,48,1,0,0,0.0,0,0,0,17
122,0,0,0,0,0,0,0.0,0,27,-95,0,1,9989,0,1,9114,0.0,26 Dec 15:00,0,0,0.0,0,0,0,19,0,0,0,0,171,True,0,0,0,0,0,0,0,0,0,2016-12-26T15:00:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,18
97,0,0,0,0,0,0,0.0,0,35,-62,0,1,10607,0,2,9142,0.0,01 Jan 16:00,0,0,0.0,0,0,0,5,0,0,0,0,181,True,0,0,0,0,0,0,0,0,0,2017-01-01T16:00:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,19
76,0,0,0,0,0,0,0.0,0,28,-48,0,1,11229,0,3,9140,0.0,03 Jan 19:45,0,0,0.0,0,0,0,2,0,0,0,0,191,False,0,0,0,3,0,0,0,0,0,2017-01-03T19:45:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,20
173,0,0,0,0,0,0,0.0,0,71,-102,0,1,11853,0,0,9236,0.0,14 Jan 15:00,0,0,0.0,0,0,0,16,0,0,0,0,207,False,0,0,0,4,0,0,0,0,0,2017-01-14T15:00:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,21
136,0,0,0,0,0,0,0.0,0,40,-96,0,1,12484,0,2,9231,0.0,22 Jan 14:15,0,0,0.0,0,0,0,3,0,0,0,0,211,True,0,0,0,1,0,0,0,0,0,2017-01-22T14:15:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,22
99,0,0,0,0,0,0,0.0,0,33,-66,0,1,13118,0,1,9269,0.0,31 Jan 19:45,0,0,0.0,0,0,0,18,0,0,0,0,221,True,0,0,0,2,0,0,0,0,0,2017-01-31T19:45:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,23
46,0,0,0,0,0,0,0.0,0,12,-34,0,1,13761,0,3,9274,0.0,04 Feb 12:30,0,0,0.0,0,0,0,4,0,0,0,0,231,False,0,0,0,1,0,0,0,0,0,2017-02-04T12:30:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,24
93,0,0,0,0,0,0,0.0,0,62,-31,0,1,14410,0,2,9330,0.0,11 Feb 12:30,0,0,0.0,0,0,0,7,0,0,0,0,241,True,0,0,0,0,0,0,0,0,0,2017-02-11T12:30:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,25
55,0,0,0,0,0,0,0.0,0,31,-24,0,1,15586,0,3,9389,0.0,04 Mar 17:30,0,0,0.0,0,0,0,9,0,0,0,0,262,False,0,0,0,1,0,0,0,0,0,2017-03-04T17:30:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,27
53,0,0,2,0,0,1,4.8,0,15,-38,0,1,16557,0,3,9405,0.0,18 Mar 12:30,0,0,0.5,0,0,12,19,12,0,1,0,289,False,3,0,0,1,0,1,0,0,0,2017-03-18T12:30:00Z,0,0,0,0,47,1,3,0,0.0,0,0,53,29
86,0,0,2,0,0,3,24.0,0,565,479,0,1,17211,0,2,10030,0.0,02 Apr 16:00,0,0,2.4,2,0,32,10,22,0,0,0,291,True,6,0,0,2,0,2,0,0,0,2017-04-02T15:00:00Z,0,0,0,0,47,1,15,0,0.0,0,0,90,30
108,0,0,0,0,0,0,0.0,0,803,695,0,1,17868,0,3,10784,0.0,05 Apr 19:45,0,0,0.0,0,0,0,20,0,0,0,0,301,True,0,0,0,0,0,0,0,0,0,2017-04-05T18:45:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,31
671,0,0,0,0,0,0,0.0,0,82,-589,0,1,18529,0,3,10201,0.0,10 Apr 20:00,0,0,0.0,0,0,0,5,0,0,0,0,312,False,0,0,0,0,0,0,0,0,0,2017-04-10T19:00:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,32
448,0,0,0,0,0,0,0.0,0,42,-406,0,1,19191,0,1,9820,0.0,17 Apr 20:00,0,0,0.0,0,0,0,12,0,0,0,0,324,False,0,0,0,2,0,0,0,0,0,2017-04-17T19:00:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,33
216,0,0,0,0,0,0,0.0,0,18,-198,0,1,19854,0,1,9646,0.0,26 Apr 19:45,0,0,0.0,0,0,0,8,0,0,0,0,271,True,0,0,0,0,0,0,0,0,0,2017-04-26T18:45:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,34
102,0,0,0,0,0,0,0.0,0,14,-88,0,1,20594,0,2,9576,0.0,30 Apr 16:30,0,0,0.0,0,0,0,17,0,0,0,0,348,False,0,0,0,0,0,0,0,0,0,2017-04-30T15:30:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,35
58,0,0,0,0,0,0,0.0,0,15,-43,0,1,21263,0,2,9561,0.0,07 May 16:00,0,0,0.0,0,0,0,11,0,0,0,0,351,True,0,0,0,0,0,0,0,0,0,2017-05-07T15:00:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,36
58,0,0,0,0,0,0,0.0,0,15,-43,0,1,21262,0,0,9561,0.0,10 May 19:45,0,0,0.0,0,0,0,13,0,0,0,0,257,False,0,0,0,2,0,0,0,0,0,2017-05-10T18:45:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,36
56,0,0,0,0,0,0,0.0,0,15,-41,0,1,21999,0,1,9546,0.0,13 May 17:30,0,0,0.0,0,0,0,14,0,0,0,0,366,False,0,0,0,4,0,0,0,0,0,2017-05-13T16:30:00Z,0,0,0,0,47,1,0,0,0.0,0,0,0,37
